asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BJDSFCHJ,8.99,"Healing Crystal Beaded Bracelets for Women,Natural Amethyst Gemstones Bracelet,Anxiety Stress Relief Heart Charm Bracelet Handmade purple Jewelry Gifts for Women",4.6,USD,True,False,8.99,False,,100+ bought in past month,1,288,True,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/61velroBGpL._AC_UL320_.jpg,amazons_choices,7454898011,amethyst,1,1,2589.12,0.0,0.0
B0C3VPFR43,6.25,Amethyst Bracelet For Women Anxiety Amethyst Beaded Bracelets Butterfly Charms Healing Stone Layered Bracelet Gifts For Women,4.5,USD,True,False,6.25,False,,700+ bought in past month,1,203,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",1.0,,https://m.media-amazon.com/images/I/71rKVdabREL._AC_UL320_.jpg,organic,7454898011,amethyst,2,48,1268.75,0.0,0.0
B0BJDSFCHJ,8.99,"Healing Crystal Beaded Bracelets for Women,Natural Amethyst Gemstones Bracelet,Anxiety Stress Relief Heart Charm Bracelet Handmade purple Jewelry Gifts for Women",4.6,USD,True,False,8.99,False,,100+ bought in past month,1,288,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",3.0,,https://m.media-amazon.com/images/I/61velroBGpL._AC_UL320_.jpg,organic,7454898011,amethyst,2,49,2589.12,0.0,0.0
B0BYJCLHRW,6.99,Amethyst Bracelets for Women Natural Stone Healing Beaded Bracelet Stress Anxiety Relief Watermelon Crystals Moonstone Opal Hematite Stretch Jewelry Gift for Women,4.7,USD,True,False,6.99,False,,50+ bought in past month,1,134,False,8.59,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",4.0,,https://m.media-amazon.com/images/I/61BbRerPbxL._AC_UL320_.jpg,organic,7454898011,amethyst,2,50,936.6600000000001,1.5999999999999996,0.18626309662398133
B07RK1G3S9,18.99,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,4.5,USD,True,False,18.99,False,,100+ bought in past month,1,6133,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",5.0,,https://m.media-amazon.com/images/I/61qVFmdRfTL._AC_UL320_.jpg,organic,7454898011,amethyst,2,51,116465.66999999998,0.0,0.0
B075VCTSNN,8.99,Natural Gemstone Round Beads Stretch Bracelet Healing Reiki 8mm,4.5,USD,True,False,8.99,False,,50+ bought in past month,1,2150,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/61whdiXCC2L._AC_UL320_.jpg,organic,7454898011,amethyst,2,52,19328.5,0.0,0.0
B09BDDLWVD,11.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 4mm Round Beads",4.4,USD,True,False,11.95,False,,50+ bought in past month,1,1056,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/51FyWrUIO9L._AC_UL320_.jpg,organic,7454898011,amethyst,2,53,12619.199999999999,0.0,0.0
B0CZ3RYYRP,6.98,Crystal Healing Stones Bracelets Healing Spiritual Crystal Bracelets for Women Men Amethyst Anxiety Bracelets Empath Protection Bracelet Natural Gemstones Bracelets Jewelry Gifts,4.3,USD,True,False,6.98,False,,100+ bought in past month,1,24,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",8.0,,https://m.media-amazon.com/images/I/71ONMvU3YHL._AC_UL320_.jpg,organic,7454898011,amethyst,2,54,167.52,0.0,0.0
B0BC36GXT5,4.98,Natural Healing Power Gemstone Amethyst Tigers Eye Crystal Beads Unisex Adjustable Stretch Bracelets for Women Men 7 Inch,4.6,USD,True,False,4.98,False,,,1,129,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",9.0,,https://m.media-amazon.com/images/I/51RAN5GeIVL._AC_UL320_.jpg,organic,7454898011,amethyst,2,55,642.4200000000001,0.0,0.0
B0B2DG8N3C,29.99,"Handmade Amethyst Bracelet, Love Friendship Crystal Stone Protection Spiritual Amethyst Bracelet, Business Money Wealth Prosperity Good Luck Energy Beaded Bracelets for Men Women",4.9,USD,True,False,29.99,False,,,1,14,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",10.0,,https://m.media-amazon.com/images/I/61c-QbKCsHL._AC_UL320_.jpg,organic,7454898011,amethyst,2,56,419.85999999999996,0.0,0.0
